Company Name,NAICS,2-Digit Industry,Markup Growth,PPI Growth
WENTWORTH RESOURCES PLC,211120,"Mining, Quarrying, and Oil and Gas Extraction",-13.757738924262986,-5.48861684944052
GRIZZLY ENERGY LLC,211130,"Mining, Quarrying, and Oil and Gas Extraction",-37.36885892224565,-5.37579789532524
EXCO RESOURCES INC,211130,"Mining, Quarrying, and Oil and Gas Extraction",7.913841046678538,25.408804382535383
CEQUENCE ENERGY LTD,2111,"Mining, Quarrying, and Oil and Gas Extraction",-0.2517511746692236,-8.316304114278516
PAINTED PONY ENERGY LTD,2111,"Mining, Quarrying, and Oil and Gas Extraction",-9.045243325022067,-6.518225648856479
CHAPARRAL ENERGY INC,211120,"Mining, Quarrying, and Oil and Gas Extraction",-38.859792998151086,-6.863507692619386
WILLIAMS PARTNERS LP,211111,"Mining, Quarrying, and Oil and Gas Extraction",-4.264226998190157,9.06380007476304
CASPIAN ENERGY INC,2111,"Mining, Quarrying, and Oil and Gas Extraction",98.8070762007074,9.781129927396105
PETRO RIVER OIL CORP,211120,"Mining, Quarrying, and Oil and Gas Extraction",-43.40584500646407,5.477804406158193
HIGHPOINT RESOURCES CORP,2111,"Mining, Quarrying, and Oil and Gas Extraction",-9.090659096549436,-6.518225648856479
TRULEUM INC,2111,"Mining, Quarrying, and Oil and Gas Extraction",30.517373139845084,6.130917026351135
OVINTIV EXPLORATION INC,211111,"Mining, Quarrying, and Oil and Gas Extraction",-0.2190436855549316,6.340026283970057
TRANSATLANTIC PETROLEUM LTD,211120,"Mining, Quarrying, and Oil and Gas Extraction",-4.3515082784170485,-5.637734432009989
TENGASCO INC,211120,"Mining, Quarrying, and Oil and Gas Extraction",-6.040396478503373,-5.637734432009989
IRON BRIDGE RESOURCES INC,2111,"Mining, Quarrying, and Oil and Gas Extraction",-16.6179016232186,9.781129927396105
LARGO INC,212290,"Mining, Quarrying, and Oil and Gas Extraction",-5.000522176438205,5.052604944976857
BLACKPEARL RESOURCES INC,2111,"Mining, Quarrying, and Oil and Gas Extraction",27.723530262838068,7.711412770924331
ENERGY FUELS INC,212290,"Mining, Quarrying, and Oil and Gas Extraction",4.050351458212242,5.052604944976857
STRATEGIC OIL & GAS LTD,2111,"Mining, Quarrying, and Oil and Gas Extraction",-55.531968791874384,7.711412770924331
COMSTOCK RESOURCES INC -OLD,211111,"Mining, Quarrying, and Oil and Gas Extraction",0.304061147206669,9.06380007476304
LINN ENERGY INC,211111,"Mining, Quarrying, and Oil and Gas Extraction",63.794650126414766,6.340026283970057
WPT INDUSTRIAL REIT,531120,Real Estate and Rental and Leasing,187.00426661213984,0.1322050481675107
ERA GROUP INC,481211,Transportation and Warehousing,-0.4208472924729811,-8.726446444047987
