gvkey,first_year,last_year,first_markup,last_markup,first_PPI,last_PPI,first_COGS,last_COGS,periods,cagr_markup,cagr_PPI,cagr_COGS,ind2d_definition,dot_size,sale_CPI,conm,naics,markup_closest_2018
1010.0,1984,2003,1.8825729,1.4083469,98.62879529872674,72.45344619641588,90610.18609206661,737404.1217193799,19,-1.5158814890164352,-1.6101541990715118,11.666410145732954,Manufacturing,14.063148961028514,1280996.6439760874,ACF INDUSTRIES INC,336510.0,1.4083469
1013.0,1985,2010,1.6439509,1.4301019,94.6073793755913,40.96777472928277,60252.60170293283,311373.48674991325,25,-0.5558761770433462,-3.292380186296473,6.790404865410538,Manufacturing,13.184021688121907,531799.4311502505,ADC TELECOMMUNICATIONS INC,334210.0,1.4301019
1015.0,1982,1987,1.1655456,0.86810809,114.51270943829005,112.38779174147217,2380.2965597394796,3593.357271095152,5,-5.722315646593423,-0.37390919484024954,8.586007706623455,Manufacturing,8.23178262451405,3758.527827648115,ADI ELECTRONICS INC,334417.0,0.86810809
1016.0,1980,1987,1.2629412,1.2428916,117.0512858974359,96.40933572710951,34638.46153846154,39501.79533213644,7,-0.22834868832609656,-2.7335038168593617,1.894601958319897,Manufacturing,10.987921404363544,59155.296229802516,AEC INC,333415.0,1.2428916
1020.0,1980,1989,1.0986489,1.2835525,128.2051282051282,92.16171617161716,99765.38461538462,346613.03630363033,9,1.7433607705336085,-3.601187506949355,14.840774401086087,Manufacturing,13.189196602801976,534558.5808580858,AFG INDUSTRIES INC,327211.0,1.2835525
1021.0,1990,2008,1.2749395,1.4696305,80.47058823529412,54.05940407401473,24481.56862745098,9112.33233101134,18,0.7926375482705916,-2.185803167678124,-5.342502824924189,Manufacturing,9.690080865945783,16156.550755511984,AFP IMAGING CORP,334517.0,1.4696305
1034.0,1983,2007,1.4193069,1.6604941,127.98773997982144,69.25976592261978,29798.773650688996,131642.7198592193,24,0.6560868605832715,-2.5261708780218606,6.385703297156997,Manufacturing,12.780182698697631,355109.93575406633,ALPHARMA INC  -CL A,325412.0,1.6604941
1036.0,1983,2000,1.0652314,1.229393,104.29008979999817,71.52982870643827,1025660.8574941602,942588.3047844063,17,0.8466729901160264,-2.1935935546730234,-0.49560788423911317,Manufacturing,14.15030389044433,1397651.506202008,UNITED DOMINION INDUSTRIES,333415.0,1.229393
1037.0,1991,2001,1.3707305,1.4651178,74.23904974016334,57.517081006999945,913.140311804009,9201.024532971269,10,0.6681405602088963,-2.5197928700675165,25.988198870336877,Manufacturing,9.701788050441206,16346.810003029042,AM COMMUNICATIONS INC,334220.0,1.4651178
1045.0,2003,2018,0.97861809,1.0627128,121.35815874270763,127.42156110173073,7902518.734801822,12603522.983035494,15,0.5511043491499112,0.3255608363774032,3.160893475930715,Transportation and Warehousing,16.700204426425877,17898087.587673645,AMERICAN AIRLINES GROUP INC,481111.0,1.0627128
1050.0,1998,2018,1.2284269,1.2518922,85.18518518518519,44.00082150940177,11081.481481481482,89425.34083257349,20,0.0946535631639156,-3.2491396464935374,11.005152794741747,Manufacturing,11.817127393594951,135554.27513388204,CECO ENVIRONMENTAL CORP,333413.0,1.2518922
1055.0,1990,1996,1.260003,0.85471362,734.9803764705882,249.83839689722043,273824.3137254902,1325953.4583063996,6,-6.263620707455553,-16.459467322562148,30.069672101174284,Manufacturing,14.122863590045988,1359820.9437621203,AST RESEARCH INC,334111.0,0.85471362
1078.0,1985,2018,1.830318,2.219707,95.83727530747397,28.28911344532902,1456160.8325449384,4571665.263127524,33,0.5862130063071014,-3.6299762448395945,3.5276885148159076,Manufacturing,16.324075109258327,12287279.635748742,ABBOTT LABORATORIES,334510.0,2.219707
1082.0,1996,2010,1.0482359,0.98090392,64.64124111182934,62.44022371624073,70627.66645119587,8704.847683327462,14,-0.4730875494232678,-0.24714363782770699,-13.889489159737145,"Professional, Scientific, and Technical Services",9.39493681346475,12027.329690496501,SERVIDYNE INC,541310.0,0.98090392
1097.0,2001,2014,1.4729373,15.95878,60.42140885982865,59.71405510328003,8675.398139214229,111.35289990789585,13,20.11609001869159,-0.09054415251592562,-28.469174054544112,Finance and Insurance,7.681747831483149,2168.406470725514,ACMAT CORP  -CL A,524126.0,15.95878
1098.0,1985,1995,1.2849115,1.4756135,94.6073793755913,78.3388704318937,136379.37559129612,45495.681063122924,10,1.393459296976074,-1.869224888289578,-10.397083192975021,Manufacturing,11.292403060165755,80209.96677740864,ACME-CLEVELAND CORP,334210.0,1.4756135
1099.0,1980,2000,1.1778349,1.2253758,118.20512435897435,84.5245186060248,45730.769230769234,32337.861783815708,20,0.1980440980645204,-1.6629173305619305,-1.717738830151505,Manufacturing,10.774640038075654,47793.266391021854,ACME ELECTRIC CORP,335311.0,1.2253758
1104.0,1998,2018,1.1062298,1.3591312,87.46913580246914,47.13512660322217,17004.93827160494,33530.2333261097,20,1.0347570376398885,-3.0440441817134345,3.4529968175241343,Manufacturing,10.91836028496116,55180.24484468092,ACME UNITED CORP,332215.0,1.3591312
1106.0,1980,1984,1.2795964,1.0344195,131.4102564102564,121.15572967678747,6194.871794871795,9239.960822722822,4,-5.178696259836057,-2.0106958318586665,10.512003324046981,Manufacturing,9.342278919811319,11410.381978452499,ACRO ENERGY CORP,333414.0,1.0344195
1109.0,1983,2008,1.225372,1.2538677,97.44637390303629,61.69464213334339,1513.789550280091,1683.9952114773723,25,0.09199614205963602,-1.811806308278896,0.4271212914338074,Manufacturing,7.8428432233073755,2547.4374805584093,ALUF HOLDINGS INC,339930.0,1.2538677
