List of skipped industry-year windows (too few observations)
----------------------------------------------------------

Industry 25  |  year 2021  |  N = 0
Industry 22  |  year 2022  |  N = 0
Industry 24  |  year 2022  |  N = 0
Industry 25  |  year 2022  |  N = 0
Industry 22  |  year 2023  |  N = 0
Industry 24  |  year 2023  |  N = 0
Industry 25  |  year 2023  |  N = 0
Industry 22  |  year 2024  |  N = 0
Industry 24  |  year 2024  |  N = 0
Industry 25  |  year 2024  |  N = 0
