,year,quarter,PPI,naics_code,date
0,1981,4,100.0,1133,1981Q4
3,1982,1,101.4,1133,1982Q1
6,1982,2,101.0,1133,1982Q2
9,1982,3,96.1,1133,1982Q3
12,1982,4,96.6,1133,1982Q4
16,1983,1,96.6,1133,1983Q1
19,1983,2,97.5,1133,1983Q2
22,1983,3,96.5,1133,1983Q3
25,1983,4,95.9,1133,1983Q4
29,1984,1,96.4,1133,1984Q1
32,1984,2,97.6,1133,1984Q2
35,1984,3,95.2,1133,1984Q3
38,1984,4,93.4,1133,1984Q4
42,1985,1,94.8,1133,1985Q1
45,1985,2,96.2,1133,1985Q2
48,1985,3,93.1,1133,1985Q3
51,1985,4,94.1,1133,1985Q4
55,1986,1,93.2,1133,1986Q1
58,1986,2,93.2,1133,1986Q2
61,1986,3,93.1,1133,1986Q3
64,1986,4,93.2,1133,1986Q4
68,1987,1,95.8,1133,1987Q1
71,1987,2,97.4,1133,1987Q2
74,1987,3,104.9,1133,1987Q3
77,1987,4,111.0,1133,1987Q4
81,1988,1,114.0,1133,1988Q1
84,1988,2,112.6,1133,1988Q2
87,1988,3,112.0,1133,1988Q3
90,1988,4,112.7,1133,1988Q4
94,1989,1,122.0,1133,1989Q1
97,1989,2,127.5,1133,1989Q2
100,1989,3,132.2,1133,1989Q3
103,1989,4,133.7,1133,1989Q4
107,1990,1,136.3,1133,1990Q1
110,1990,2,136.5,1133,1990Q2
113,1990,3,135.9,1133,1990Q3
116,1990,4,132.5,1133,1990Q4
120,1991,1,132.5,1133,1991Q1
123,1991,2,135.4,1133,1991Q2
126,1991,3,135.6,1133,1991Q3
129,1991,4,136.4,1133,1991Q4
133,1992,1,147.3,1133,1992Q1
136,1992,2,151.5,1133,1992Q2
139,1992,3,153.7,1133,1992Q3
142,1992,4,159.6,1133,1992Q4
146,1993,1,177.2,1133,1993Q1
149,1993,2,196.1,1133,1993Q2
152,1993,3,187.0,1133,1993Q3
155,1993,4,186.5,1133,1993Q4
159,1994,1,201.0,1133,1994Q1
162,1994,2,192.0,1133,1994Q2
165,1994,3,187.9,1133,1994Q3
168,1994,4,189.6,1133,1994Q4
172,1995,1,198.0,1133,1995Q1
175,1995,2,199.9,1133,1995Q2
178,1995,3,191.6,1133,1995Q3
181,1995,4,189.3,1133,1995Q4
185,1996,1,187.7,1133,1996Q1
188,1996,2,182.0,1133,1996Q2
191,1996,3,184.6,1133,1996Q3
194,1996,4,187.4,1133,1996Q4
198,1997,1,191.8,1133,1997Q1
201,1997,2,191.2,1133,1997Q2
204,1997,3,191.9,1133,1997Q3
207,1997,4,191.0,1133,1997Q4
211,1998,1,194.1,1133,1998Q1
214,1998,2,188.9,1133,1998Q2
217,1998,3,184.3,1133,1998Q3
220,1998,4,180.8,1133,1998Q4
224,1999,1,182.2,1133,1999Q1
227,1999,2,181.7,1133,1999Q2
230,1999,3,182.7,1133,1999Q3
233,1999,4,184.6,1133,1999Q4
237,2000,1,186.0,1133,2000Q1
240,2000,2,179.7,1133,2000Q2
243,2000,3,170.0,1133,2000Q3
246,2000,4,169.2,1133,2000Q4
250,2001,1,168.0,1133,2001Q1
253,2001,2,169.5,1133,2001Q2
256,2001,3,167.6,1133,2001Q3
259,2001,4,165.5,1133,2001Q4
263,2002,1,165.6,1133,2002Q1
266,2002,2,165.0,1133,2002Q2
269,2002,3,165.1,1133,2002Q3
272,2002,4,165.0,1133,2002Q4
276,2003,1,166.4,1133,2003Q1
279,2003,2,169.2,1133,2003Q2
282,2003,3,170.4,1133,2003Q3
285,2003,4,173.2,1133,2003Q4
289,2004,1,174.1,1133,2004Q1
292,2004,2,174.5,1133,2004Q2
295,2004,3,175.4,1133,2004Q3
298,2004,4,176.9,1133,2004Q4
302,2005,1,180.9,1133,2005Q1
305,2005,2,178.8,1133,2005Q2
308,2005,3,177.7,1133,2005Q3
311,2005,4,178.1,1133,2005Q4
315,2006,1,177.4,1133,2006Q1
318,2006,2,177.3,1133,2006Q2
321,2006,3,176.3,1133,2006Q3
324,2006,4,173.8,1133,2006Q4
328,2007,1,178.6,1133,2007Q1
331,2007,2,176.8,1133,2007Q2
334,2007,3,173.6,1133,2007Q3
337,2007,4,171.0,1133,2007Q4
341,2008,1,172.8,1133,2008Q1
344,2008,2,173.2,1133,2008Q2
347,2008,3,171.4,1133,2008Q3
350,2008,4,168.5,1133,2008Q4
354,2009,1,159.2,1133,2009Q1
357,2009,2,156.4,1133,2009Q2
360,2009,3,160.1,1133,2009Q3
363,2009,4,165.7,1133,2009Q4
367,2010,1,178.9,1133,2010Q1
370,2010,2,179.4,1133,2010Q2
373,2010,3,177.1,1133,2010Q3
376,2010,4,173.8,1133,2010Q4
380,2011,1,186.1,1133,2011Q1
383,2011,2,181.8,1133,2011Q2
386,2011,3,186.2,1133,2011Q3
389,2011,4,188.4,1133,2011Q4
393,2012,1,189.9,1133,2012Q1
396,2012,2,190.1,1133,2012Q2
399,2012,3,191.2,1133,2012Q3
402,2012,4,196.4,1133,2012Q4
406,2013,1,198.6,1133,2013Q1
409,2013,2,198.4,1133,2013Q2
412,2013,3,199.7,1133,2013Q3
415,2013,4,201.8,1133,2013Q4
419,2014,1,202.6,1133,2014Q1
422,2014,2,201.8,1133,2014Q2
425,2014,3,203.3,1133,2014Q3
428,2014,4,201.6,1133,2014Q4
432,2015,1,203.8,1133,2015Q1
435,2015,2,201.3,1133,2015Q2
438,2015,3,196.9,1133,2015Q3
441,2015,4,196.9,1133,2015Q4
445,2016,1,197.6,1133,2016Q1
448,2016,2,196.3,1133,2016Q2
451,2016,3,197.9,1133,2016Q3
454,2016,4,201.0,1133,2016Q4
458,2017,1,199.5,1133,2017Q1
461,2017,2,197.0,1133,2017Q2
464,2017,3,196.5,1133,2017Q3
467,2017,4,203.8,1133,2017Q4
471,2018,1,205.1,1133,2018Q1
474,2018,2,205.5,1133,2018Q2
477,2018,3,207.2,1133,2018Q3
480,2018,4,202.0,1133,2018Q4
484,2019,1,197.0,1133,2019Q1
487,2019,2,197.2,1133,2019Q2
490,2019,3,194.5,1133,2019Q3
493,2019,4,191.5,1133,2019Q4
497,2020,1,194.8,1133,2020Q1
500,2020,2,190.3,1133,2020Q2
503,2020,3,194.0,1133,2020Q3
506,2020,4,201.2,1133,2020Q4
510,2021,1,211.9,1133,2021Q1
513,2021,2,214.5,1133,2021Q2
516,2021,3,215.876,1133,2021Q3
519,2021,4,215.013,1133,2021Q4
523,2022,1,218.098,1133,2022Q1
526,2022,2,221.763,1133,2022Q2
529,2022,3,221.294,1133,2022Q3
532,2022,4,219.914,1133,2022Q4
534,1981,4,100.0,11331,1981Q4
537,1982,1,101.4,11331,1982Q1
540,1982,2,101.0,11331,1982Q2
543,1982,3,96.1,11331,1982Q3
546,1982,4,96.6,11331,1982Q4
550,1983,1,96.6,11331,1983Q1
553,1983,2,97.5,11331,1983Q2
556,1983,3,96.5,11331,1983Q3
559,1983,4,95.9,11331,1983Q4
563,1984,1,96.4,11331,1984Q1
566,1984,2,97.6,11331,1984Q2
569,1984,3,95.2,11331,1984Q3
572,1984,4,93.4,11331,1984Q4
576,1985,1,94.8,11331,1985Q1
579,1985,2,96.2,11331,1985Q2
582,1985,3,93.1,11331,1985Q3
585,1985,4,94.1,11331,1985Q4
589,1986,1,93.2,11331,1986Q1
592,1986,2,93.2,11331,1986Q2
595,1986,3,93.1,11331,1986Q3
598,1986,4,93.2,11331,1986Q4
602,1987,1,95.8,11331,1987Q1
605,1987,2,97.4,11331,1987Q2
608,1987,3,104.9,11331,1987Q3
611,1987,4,111.0,11331,1987Q4
615,1988,1,114.0,11331,1988Q1
618,1988,2,112.6,11331,1988Q2
621,1988,3,112.0,11331,1988Q3
624,1988,4,112.7,11331,1988Q4
628,1989,1,122.0,11331,1989Q1
631,1989,2,127.5,11331,1989Q2
634,1989,3,132.2,11331,1989Q3
637,1989,4,133.7,11331,1989Q4
641,1990,1,136.3,11331,1990Q1
644,1990,2,136.5,11331,1990Q2
647,1990,3,135.9,11331,1990Q3
650,1990,4,132.5,11331,1990Q4
654,1991,1,132.5,11331,1991Q1
657,1991,2,135.4,11331,1991Q2
660,1991,3,135.6,11331,1991Q3
663,1991,4,136.4,11331,1991Q4
667,1992,1,147.3,11331,1992Q1
670,1992,2,151.5,11331,1992Q2
673,1992,3,153.7,11331,1992Q3
676,1992,4,159.6,11331,1992Q4
680,1993,1,177.2,11331,1993Q1
683,1993,2,196.1,11331,1993Q2
686,1993,3,187.0,11331,1993Q3
689,1993,4,186.5,11331,1993Q4
693,1994,1,201.0,11331,1994Q1
696,1994,2,192.0,11331,1994Q2
699,1994,3,187.9,11331,1994Q3
702,1994,4,189.6,11331,1994Q4
706,1995,1,198.0,11331,1995Q1
709,1995,2,199.9,11331,1995Q2
712,1995,3,191.6,11331,1995Q3
715,1995,4,189.3,11331,1995Q4
719,1996,1,187.7,11331,1996Q1
722,1996,2,182.0,11331,1996Q2
725,1996,3,184.6,11331,1996Q3
728,1996,4,187.4,11331,1996Q4
732,1997,1,191.8,11331,1997Q1
735,1997,2,191.2,11331,1997Q2
738,1997,3,191.9,11331,1997Q3
741,1997,4,191.0,11331,1997Q4
745,1998,1,194.1,11331,1998Q1
748,1998,2,188.9,11331,1998Q2
751,1998,3,184.3,11331,1998Q3
754,1998,4,180.8,11331,1998Q4
758,1999,1,182.2,11331,1999Q1
761,1999,2,181.7,11331,1999Q2
764,1999,3,182.7,11331,1999Q3
767,1999,4,184.6,11331,1999Q4
771,2000,1,186.0,11331,2000Q1
774,2000,2,179.7,11331,2000Q2
777,2000,3,170.0,11331,2000Q3
780,2000,4,169.2,11331,2000Q4
784,2001,1,168.0,11331,2001Q1
787,2001,2,169.5,11331,2001Q2
790,2001,3,167.6,11331,2001Q3
793,2001,4,165.5,11331,2001Q4
797,2002,1,165.6,11331,2002Q1
800,2002,2,165.0,11331,2002Q2
803,2002,3,165.1,11331,2002Q3
806,2002,4,165.0,11331,2002Q4
810,2003,1,166.4,11331,2003Q1
813,2003,2,169.2,11331,2003Q2
816,2003,3,170.4,11331,2003Q3
819,2003,4,173.2,11331,2003Q4
823,2004,1,174.1,11331,2004Q1
826,2004,2,174.5,11331,2004Q2
829,2004,3,175.4,11331,2004Q3
832,2004,4,176.9,11331,2004Q4
836,2005,1,180.9,11331,2005Q1
839,2005,2,178.8,11331,2005Q2
842,2005,3,177.7,11331,2005Q3
845,2005,4,178.1,11331,2005Q4
849,2006,1,177.4,11331,2006Q1
852,2006,2,177.3,11331,2006Q2
855,2006,3,176.3,11331,2006Q3
858,2006,4,173.8,11331,2006Q4
862,2007,1,178.6,11331,2007Q1
865,2007,2,176.8,11331,2007Q2
868,2007,3,173.6,11331,2007Q3
871,2007,4,171.0,11331,2007Q4
875,2008,1,172.8,11331,2008Q1
878,2008,2,173.2,11331,2008Q2
881,2008,3,171.4,11331,2008Q3
884,2008,4,168.5,11331,2008Q4
888,2009,1,159.2,11331,2009Q1
891,2009,2,156.4,11331,2009Q2
894,2009,3,160.1,11331,2009Q3
897,2009,4,165.7,11331,2009Q4
901,2010,1,178.9,11331,2010Q1
904,2010,2,179.4,11331,2010Q2
907,2010,3,177.1,11331,2010Q3
910,2010,4,173.8,11331,2010Q4
914,2011,1,186.1,11331,2011Q1
917,2011,2,181.8,11331,2011Q2
920,2011,3,186.2,11331,2011Q3
923,2011,4,188.4,11331,2011Q4
927,2012,1,189.9,11331,2012Q1
930,2012,2,190.1,11331,2012Q2
933,2012,3,191.2,11331,2012Q3
936,2012,4,196.4,11331,2012Q4
940,2013,1,198.6,11331,2013Q1
943,2013,2,198.4,11331,2013Q2
946,2013,3,199.7,11331,2013Q3
949,2013,4,201.8,11331,2013Q4
953,2014,1,202.6,11331,2014Q1
956,2014,2,201.8,11331,2014Q2
959,2014,3,203.3,11331,2014Q3
962,2014,4,201.6,11331,2014Q4
966,2015,1,203.8,11331,2015Q1
969,2015,2,201.3,11331,2015Q2
972,2015,3,196.9,11331,2015Q3
975,2015,4,196.9,11331,2015Q4
979,2016,1,197.6,11331,2016Q1
982,2016,2,196.3,11331,2016Q2
985,2016,3,197.9,11331,2016Q3
988,2016,4,201.0,11331,2016Q4
992,2017,1,199.5,11331,2017Q1
995,2017,2,197.0,11331,2017Q2
998,2017,3,196.5,11331,2017Q3
1001,2017,4,203.8,11331,2017Q4
1005,2018,1,205.1,11331,2018Q1
1008,2018,2,205.5,11331,2018Q2
1011,2018,3,207.2,11331,2018Q3
1014,2018,4,202.0,11331,2018Q4
1018,2019,1,197.0,11331,2019Q1
1021,2019,2,197.2,11331,2019Q2
1024,2019,3,194.5,11331,2019Q3
1027,2019,4,191.5,11331,2019Q4
1031,2020,1,194.8,11331,2020Q1
1034,2020,2,190.3,11331,2020Q2
1037,2020,3,194.0,11331,2020Q3
1040,2020,4,201.2,11331,2020Q4
1044,2021,1,211.9,11331,2021Q1
1047,2021,2,214.5,11331,2021Q2
1050,2021,3,215.876,11331,2021Q3
1053,2021,4,215.013,11331,2021Q4
1057,2022,1,218.098,11331,2022Q1
1060,2022,2,221.763,11331,2022Q2
1063,2022,3,221.294,11331,2022Q3
1066,2022,4,219.913,11331,2022Q4
1068,1981,4,100.0,113310,1981Q4
1071,1982,1,101.4,113310,1982Q1
1074,1982,2,101.0,113310,1982Q2
1077,1982,3,96.1,113310,1982Q3
1080,1982,4,96.6,113310,1982Q4
1084,1983,1,96.6,113310,1983Q1
1087,1983,2,97.5,113310,1983Q2
1090,1983,3,96.5,113310,1983Q3
1093,1983,4,95.9,113310,1983Q4
1097,1984,1,96.4,113310,1984Q1
1100,1984,2,97.6,113310,1984Q2
1103,1984,3,95.2,113310,1984Q3
1106,1984,4,93.4,113310,1984Q4
1110,1985,1,94.8,113310,1985Q1
1113,1985,2,96.2,113310,1985Q2
1116,1985,3,93.1,113310,1985Q3
1119,1985,4,94.1,113310,1985Q4
1123,1986,1,93.2,113310,1986Q1
1126,1986,2,93.2,113310,1986Q2
1129,1986,3,93.1,113310,1986Q3
1132,1986,4,93.2,113310,1986Q4
1136,1987,1,95.8,113310,1987Q1
1139,1987,2,97.4,113310,1987Q2
1142,1987,3,104.9,113310,1987Q3
1145,1987,4,111.0,113310,1987Q4
1149,1988,1,114.0,113310,1988Q1
1152,1988,2,112.6,113310,1988Q2
1155,1988,3,112.0,113310,1988Q3
1158,1988,4,112.7,113310,1988Q4
1162,1989,1,122.0,113310,1989Q1
1165,1989,2,127.5,113310,1989Q2
1168,1989,3,132.2,113310,1989Q3
1171,1989,4,133.7,113310,1989Q4
1175,1990,1,136.3,113310,1990Q1
1178,1990,2,136.5,113310,1990Q2
1181,1990,3,135.9,113310,1990Q3
1184,1990,4,132.5,113310,1990Q4
1188,1991,1,132.5,113310,1991Q1
1191,1991,2,135.4,113310,1991Q2
1194,1991,3,135.6,113310,1991Q3
1197,1991,4,136.4,113310,1991Q4
1201,1992,1,147.3,113310,1992Q1
1204,1992,2,151.5,113310,1992Q2
1207,1992,3,153.7,113310,1992Q3
1210,1992,4,159.6,113310,1992Q4
1214,1993,1,177.2,113310,1993Q1
1217,1993,2,196.1,113310,1993Q2
1220,1993,3,187.0,113310,1993Q3
1223,1993,4,186.5,113310,1993Q4
1227,1994,1,201.0,113310,1994Q1
1230,1994,2,192.0,113310,1994Q2
1233,1994,3,187.9,113310,1994Q3
1236,1994,4,189.6,113310,1994Q4
1240,1995,1,197.9,113310,1995Q1
1243,1995,2,199.9,113310,1995Q2
1246,1995,3,191.7,113310,1995Q3
1249,1995,4,189.4,113310,1995Q4
1253,1996,1,187.8,113310,1996Q1
1256,1996,2,182.1,113310,1996Q2
1259,1996,3,184.7,113310,1996Q3
1262,1996,4,187.5,113310,1996Q4
1266,1997,1,191.8,113310,1997Q1
1269,1997,2,191.2,113310,1997Q2
1272,1997,3,191.9,113310,1997Q3
1275,1997,4,191.1,113310,1997Q4
1279,1998,1,194.2,113310,1998Q1
1282,1998,2,189.0,113310,1998Q2
1285,1998,3,184.4,113310,1998Q3
1288,1998,4,180.9,113310,1998Q4
1292,1999,1,182.4,113310,1999Q1
1295,1999,2,181.9,113310,1999Q2
1298,1999,3,182.8,113310,1999Q3
1301,1999,4,184.7,113310,1999Q4
1305,2000,1,186.1,113310,2000Q1
1308,2000,2,179.8,113310,2000Q2
1311,2000,3,170.0,113310,2000Q3
1314,2000,4,169.3,113310,2000Q4
1318,2001,1,168.1,113310,2001Q1
1321,2001,2,169.5,113310,2001Q2
1324,2001,3,167.7,113310,2001Q3
1327,2001,4,165.6,113310,2001Q4
1331,2002,1,165.7,113310,2002Q1
1334,2002,2,165.1,113310,2002Q2
1337,2002,3,165.2,113310,2002Q3
1340,2002,4,165.1,113310,2002Q4
1344,2003,1,166.5,113310,2003Q1
1347,2003,2,169.3,113310,2003Q2
1350,2003,3,170.5,113310,2003Q3
1353,2003,4,173.3,113310,2003Q4
1357,2004,1,174.2,113310,2004Q1
1360,2004,2,174.6,113310,2004Q2
1363,2004,3,175.5,113310,2004Q3
1366,2004,4,177.0,113310,2004Q4
1370,2005,1,181.1,113310,2005Q1
1373,2005,2,178.9,113310,2005Q2
1376,2005,3,177.8,113310,2005Q3
1379,2005,4,178.2,113310,2005Q4
1383,2006,1,177.5,113310,2006Q1
1386,2006,2,177.4,113310,2006Q2
1389,2006,3,176.4,113310,2006Q3
1392,2006,4,173.9,113310,2006Q4
1396,2007,1,178.7,113310,2007Q1
1399,2007,2,176.9,113310,2007Q2
1402,2007,3,173.7,113310,2007Q3
1405,2007,4,171.1,113310,2007Q4
1409,2008,1,172.9,113310,2008Q1
1412,2008,2,173.3,113310,2008Q2
1415,2008,3,171.5,113310,2008Q3
1418,2008,4,168.6,113310,2008Q4
1422,2009,1,159.3,113310,2009Q1
1425,2009,2,156.5,113310,2009Q2
1428,2009,3,160.2,113310,2009Q3
1431,2009,4,165.8,113310,2009Q4
1435,2010,1,179.0,113310,2010Q1
1438,2010,2,179.5,113310,2010Q2
1441,2010,3,177.2,113310,2010Q3
1444,2010,4,173.9,113310,2010Q4
1448,2011,1,186.2,113310,2011Q1
1451,2011,2,182.0,113310,2011Q2
1454,2011,3,186.3,113310,2011Q3
1457,2011,4,188.5,113310,2011Q4
1461,2012,1,190.0,113310,2012Q1
1464,2012,2,190.2,113310,2012Q2
1467,2012,3,191.3,113310,2012Q3
1470,2012,4,196.5,113310,2012Q4
1474,2013,1,198.7,113310,2013Q1
1477,2013,2,198.5,113310,2013Q2
1480,2013,3,199.8,113310,2013Q3
1483,2013,4,201.9,113310,2013Q4
1487,2014,1,202.8,113310,2014Q1
1490,2014,2,201.9,113310,2014Q2
1493,2014,3,203.4,113310,2014Q3
1496,2014,4,201.8,113310,2014Q4
1500,2015,1,203.9,113310,2015Q1
1503,2015,2,201.4,113310,2015Q2
1506,2015,3,197.0,113310,2015Q3
1509,2015,4,197.1,113310,2015Q4
1513,2016,1,197.7,113310,2016Q1
1516,2016,2,196.4,113310,2016Q2
1519,2016,3,198.0,113310,2016Q3
1522,2016,4,201.1,113310,2016Q4
1526,2017,1,199.7,113310,2017Q1
1529,2017,2,197.1,113310,2017Q2
1532,2017,3,196.6,113310,2017Q3
1535,2017,4,204.0,113310,2017Q4
1539,2018,1,205.2,113310,2018Q1
1542,2018,2,205.6,113310,2018Q2
1545,2018,3,207.4,113310,2018Q3
1548,2018,4,202.1,113310,2018Q4
1552,2019,1,197.1,113310,2019Q1
1555,2019,2,197.3,113310,2019Q2
1558,2019,3,194.6,113310,2019Q3
1561,2019,4,191.6,113310,2019Q4
1565,2020,1,194.9,113310,2020Q1
1568,2020,2,190.4,113310,2020Q2
1571,2020,3,194.1,113310,2020Q3
1574,2020,4,201.3,113310,2020Q4
1578,2021,1,212.0,113310,2021Q1
1581,2021,2,214.6,113310,2021Q2
1584,2021,3,216.006,113310,2021Q3
1587,2021,4,215.143,113310,2021Q4
1591,2022,1,218.229,113310,2022Q1
1594,2022,2,221.896,113310,2022Q2
1597,2022,3,221.427,113310,2022Q3
1600,2022,4,220.046,113310,2022Q4
1602,1985,4,100.0,211,1985Q4
1605,1986,1,84.8,211,1986Q1
1608,1986,2,76.1,211,1986Q2
1611,1986,3,68.8,211,1986Q3
1614,1986,4,69.0,211,1986Q4
1618,1987,1,74.6,211,1987Q1
1621,1987,2,74.6,211,1987Q2
1624,1987,3,75.9,211,1987Q3
1627,1987,4,73.2,211,1987Q4
1631,1988,1,69.4,211,1988Q1
1634,1988,2,69.0,211,1988Q2
1637,1988,3,65.4,211,1988Q3
1640,1988,4,68.3,211,1988Q4
1644,1989,1,73.8,211,1989Q1
1647,1989,2,77.2,211,1989Q2
1650,1989,3,75.8,211,1989Q3
1653,1989,4,77.3,211,1989Q4
1657,1990,1,77.9,211,1990Q1
1660,1990,2,69.4,211,1990Q2
1663,1990,3,89.7,211,1990Q3
1666,1990,4,91.8,211,1990Q4
1670,1991,1,75.5,211,1991Q1
1673,1991,2,74.5,211,1991Q2
1676,1991,3,73.6,211,1991Q3
1679,1991,4,77.1,211,1991Q4
1683,1992,1,70.0,211,1992Q1
1686,1992,2,75.5,211,1992Q2
1689,1992,3,81.8,211,1992Q3
1692,1992,4,79.4,211,1992Q4
1696,1993,1,75.3,211,1993Q1
1699,1993,2,82.0,211,1993Q2
1702,1993,3,74.5,211,1993Q3
1705,1993,4,70.9,211,1993Q4
1709,1994,1,73.4,211,1994Q1
1712,1994,2,73.5,211,1994Q2
1715,1994,3,69.2,211,1994Q3
1718,1994,4,68.6,211,1994Q4
1722,1995,1,65.7,211,1995Q1
1725,1995,2,69.1,211,1995Q2
1728,1995,3,63.5,211,1995Q3
1731,1995,4,71.0,211,1995Q4
1735,1996,1,79.2,211,1996Q1
1738,1996,2,75.9,211,1996Q2
1741,1996,3,81.3,211,1996Q3
1744,1996,4,112.1,211,1996Q4
1748,1997,1,77.3,211,1997Q1
1751,1997,2,78.9,211,1997Q2
1754,1997,3,83.5,211,1997Q3
1757,1997,4,84.5,211,1997Q4
1761,1998,1,70.2,211,1998Q1
1764,1998,2,66.6,211,1998Q2
1767,1998,3,61.8,211,1998Q3
1770,1998,4,62.9,211,1998Q4
1774,1999,1,58.6,211,1999Q1
1777,1999,2,76.2,211,1999Q2
1780,1999,3,96.9,211,1999Q3
1783,1999,4,90.4,211,1999Q4
1787,2000,1,107.0,211,2000Q1
1790,2000,2,133.1,211,2000Q2
1793,2000,3,141.9,211,2000Q3
1796,2000,4,171.2,211,2000Q4
1800,2001,1,150.4,211,2001Q1
1803,2001,2,125.1,211,2001Q2
1806,2001,3,95.9,211,2001Q3
1809,2001,4,78.3,211,2001Q4
1813,2002,1,92.7,211,2002Q1
1816,2002,2,101.7,211,2002Q2
1819,2002,3,112.8,211,2002Q3
1822,2002,4,133.9,211,2002Q4
1826,2003,1,220.0,211,2003Q1
1829,2003,2,169.3,211,2003Q2
1832,2003,3,149.4,211,2003Q3
1835,2003,4,155.1,211,2003Q4
1839,2004,1,165.4,211,2004Q1
1842,2004,2,198.0,211,2004Q2
1845,2004,3,184.0,211,2004Q3
1848,2004,4,214.7,211,2004Q4
1852,2005,1,221.3,211,2005Q1
1855,2005,2,222.2,211,2005Q2
1858,2005,3,316.9,211,2005Q3
1861,2005,4,312.2,211,2005Q4
1865,2006,1,247.1,211,2006Q1
1868,2006,2,241.7,211,2006Q2
1871,2006,3,242.1,211,2006Q3
1874,2006,4,256.2,211,2006Q4
1878,2007,1,252.4,211,2007Q1
1881,2007,2,270.9,211,2007Q2
1884,2007,3,256.2,211,2007Q3
1887,2007,4,315.9,211,2007Q4
1891,2008,1,371.6,211,2008Q1
1894,2008,2,456.0,211,2008Q2
1897,2008,3,341.2,211,2008Q3
1900,2008,4,184.1,211,2008Q4
1904,2009,1,154.1,211,2009Q1
1907,2009,2,192.2,211,2009Q2
1910,2009,3,186.6,211,2009Q3
1913,2009,4,235.5,211,2009Q4
1917,2010,1,250.9,211,2010Q1
1920,2010,2,226.7,211,2010Q2
1923,2010,3,219.6,211,2010Q3
1926,2010,4,256.4,211,2010Q4
1930,2011,1,275.0,211,2011Q1
1933,2011,2,281.9,211,2011Q2
1936,2011,3,270.8,211,2011Q3
1939,2011,4,267.7,211,2011Q4
1943,2012,1,259.7,211,2012Q1
1946,2012,2,208.4,211,2012Q2
1949,2012,3,242.8,211,2012Q3
1952,2012,4,242.6,211,2012Q4
1956,2013,1,248.9,211,2013Q1
1959,2013,2,259.9,211,2013Q2
1962,2013,3,271.7,211,2013Q3
1965,2013,4,259.1,211,2013Q4
1969,2014,1,285.4,211,2014Q1
1972,2014,2,280.1,211,2014Q2
1975,2014,3,247.9,211,2014Q3
1978,2014,4,188.6,211,2014Q4
1982,2015,1,138.8,211,2015Q1
1985,2015,2,154.9,211,2015Q2
1988,2015,3,125.2,211,2015Q3
1991,2015,4,100.7,211,2015Q4
1995,2016,1,91.3,211,2016Q1
1998,2016,2,122.7,211,2016Q2
2001,2016,3,129.6,211,2016Q3
2004,2016,4,155.6,211,2016Q4
2008,2017,1,135.4,211,2017Q1
2011,2017,2,138.0,211,2017Q2
2014,2017,3,145.4,211,2017Q3
2017,2017,4,163.4,211,2017Q4
2021,2018,1,156.0,211,2018Q1
2024,2018,2,172.2,211,2018Q2
2027,2018,3,182.7,211,2018Q3
2030,2018,4,175.2,211,2018Q4
2034,2019,1,148.0,211,2019Q1
2037,2019,2,128.8,211,2019Q2
2040,2019,3,131.2,211,2019Q3
2043,2019,4,139.0,211,2019Q4
2047,2020,1,81.1,211,2020Q1
2050,2020,2,87.5,211,2020Q2
2053,2020,3,103.7,211,2020Q3
2056,2020,4,129.3,211,2020Q4
2060,2021,1,164.0,211,2021Q1
2063,2021,2,180.5,211,2021Q2
2066,2021,3,219.383,211,2021Q3
2069,2021,4,229.298,211,2021Q4
2073,2022,1,275.256,211,2022Q1
2076,2022,2,374.936,211,2022Q2
2079,2022,3,322.595,211,2022Q3
2082,2022,4,263.231,211,2022Q4
2084,1985,4,100.0,2111,1985Q4
2087,1986,1,84.8,2111,1986Q1
2090,1986,2,76.1,2111,1986Q2
2093,1986,3,68.8,2111,1986Q3
2096,1986,4,69.0,2111,1986Q4
2100,1987,1,74.6,2111,1987Q1
2103,1987,2,74.6,2111,1987Q2
2106,1987,3,75.9,2111,1987Q3
2109,1987,4,73.2,2111,1987Q4
2113,1988,1,69.4,2111,1988Q1
2116,1988,2,69.0,2111,1988Q2
2119,1988,3,65.4,2111,1988Q3
2122,1988,4,68.3,2111,1988Q4
2126,1989,1,73.8,2111,1989Q1
2129,1989,2,77.2,2111,1989Q2
2132,1989,3,75.8,2111,1989Q3
2135,1989,4,77.3,2111,1989Q4
2139,1990,1,77.9,2111,1990Q1
2142,1990,2,69.4,2111,1990Q2
2145,1990,3,89.7,2111,1990Q3
2148,1990,4,91.8,2111,1990Q4
2152,1991,1,75.5,2111,1991Q1
2155,1991,2,74.5,2111,1991Q2
2158,1991,3,73.6,2111,1991Q3
2161,1991,4,77.1,2111,1991Q4
2165,1992,1,70.0,2111,1992Q1
2168,1992,2,75.5,2111,1992Q2
2171,1992,3,81.8,2111,1992Q3
2174,1992,4,79.4,2111,1992Q4
2178,1993,1,75.3,2111,1993Q1
2181,1993,2,82.0,2111,1993Q2
2184,1993,3,74.5,2111,1993Q3
2187,1993,4,70.9,2111,1993Q4
2191,1994,1,73.4,2111,1994Q1
2194,1994,2,73.5,2111,1994Q2
2197,1994,3,69.2,2111,1994Q3
2200,1994,4,68.6,2111,1994Q4
2204,1995,1,65.7,2111,1995Q1
2207,1995,2,69.1,2111,1995Q2
2210,1995,3,63.5,2111,1995Q3
2213,1995,4,71.0,2111,1995Q4
2217,1996,1,79.2,2111,1996Q1
2220,1996,2,75.9,2111,1996Q2
